TERMS,DEFINITIONS
inlet,"A small, narrow opening, recess, indentation, or other entrance into a shoreline through which water penetrates into the land; or a waterway entering a sea, lake, or river. Also, a short, narrow waterway between islands, or connecting a bay, lagoon, or similar body of water with a larger body of water."
intercalated,Describes the presence or insertion of a layer of material between layers of a different type.
interdune,"The relatively flat surface between dunes, commonly a long, troughlike, wind-swept passage between parallel dunes; may be covered with sand or sand free."
interfluve,"The area between rivers, especially the relatively undissected upland or ridge between two adjacent valleys containing streams flowing in the same general direction."
intermediate,"Said of an igneous rock that is transitional between felsic and mafic, generally having a silica content of 54%–65%."
intermediate magma,"Describes magma that contains between 62% and 63% silica and is moderately viscous, gas-rich, and sometimes erupts explosively, though it may also produce lava flows."
interstitial,Said of a mineral deposit in which the minerals fill the pores of the host rock.
intertidal,"Pertaining to the benthic ocean environment or depth zone between high water and low water; also, pertaining to the organisms of that environment. Synonymous with “littoral.”"
intertonguing,The overlapping of markedly different rocks through vertical succession of wedge-shaped layers; results in the disappearance of sedimentary bodies in laterally adjacent masses.
intrusion,"The process of emplacement of magma into preexisting rock. Also, the igneous rock mass formed."
intrusive,"Pertaining to intrusion, both the process and the rock body."
island arc,"An offshore, generally curved belt of volcanoes above a subduction zone."
isoclinal,Describes a fold with parallel limbs.
isograd,"A line on a map joining points where metamorphism proceeded under similar pressures and temperatures, as indicated by rocks containing a diagnostic mineral or mineral assemblage."
isostacy,"The condition of equilibrium, comparable to floating, of the units of the lithosphere above the asthenosphere."
isotopic age,An age (in years) calculated from the quantitative determination of radioactive elements and their decay products.
isotopic dating,"Calculating an age in years for geologic materials by measuring the presence of a short-lived radioactive element (e.g., carbon-14) or by measuring the presence of a long-lived radioactive element plus its decay product (e.g., potassium-40/argon-40). The term applies to all methods of age determination based on nuclear decay of naturally occurring radioactive isotopes."
isotropy,The condition of having uniform properties in all directions.
isthmus,"A narrow strip or neck of land, bordered on both sides by water, connecting two larger land areas."
jameo,A large sink formed by the collapse of the roof of more than one level of a multi-level lava-tube cave.
jasper,"A variety of chert associated with iron ores and containing iron-oxide impurities that give it various colors, especially red."
joint,A break in rock without relative movement of rocks on either side of the fracture surface.
jökulhlaup,An Icelandic term for a glacial outburst flood.
juvenile (geomorphology),Youthful.
juvenile (volcanology),Formed directly from magma reaching the surface.
kame,"A mound, knob, or short irregular ridge, composed of stratified sand and gravel deposited by a subglacial stream as a fan or delta at the margin of a melting glacier."
kame delta,"A flat-topped, steep-sided hill of well-sorted sand and gravel deposited by a meltwater stream flowing into a proglacial or other ice-marginal lake; the proximal margin of the delta was built in contact with a glacier."
kaolinite,A common white clay mineral composed of mostly aluminum oxide.
karren,Channels or furrows caused by solution on massive bare limestone surfaces.
karstification,"The action of water, mainly solutional but also mechanical, that produces features of karst topography."
karst,"A type of topography that is formed on limestone, gypsum, and other soluble rocks, primarily by dissolution. It is characterized by sinkholes, caves, and underground drainage."
karst valley,A closed depression formed by the coalescence of several sinkholes.
karst window,A collapse sinkhole opening into a cave.
keratophyre,"A salic extrusive igneous rock formed at shallow depth characterized by the presence of albite or albite-oligoclase and chlorite, epidote, and calcite, all of metamorphic origin."
key,One of the coral islets or barrier islands off the southern coast of Florida. Synonymous with “cay.”
kipuka,An area surrounded by a lava flow.
klippe,"An erosional remnant of a thrust sheet that is completely surrounded by exposure of the footwall. Commonly used in the plural, “klippen.”"
knickpoint,Any interruption or break in slope.
labradorite,"A silicate (silicon + oxygen) mineral of the plagioclase group with the general formula (Ca,Na)(Al,Si)4O8."
laccolith,A mushroom-shaped pluton that has intruded sedimentary strata and domed up the overlying sedimentary layers.
lacustrine,"Describes a process, feature, or organism pertaining to, produced by, or inhabiting a lake."
lag gravel,An accumulation of coarse material remaining on a surface after finer material has been blown or washed away.
lagomorph,Any member of the order Lagomorpha of which there are two living families: Leporidae (hares and rabbits) and the Ochotonidae (pikas).
lagoon,"A narrow body of water that is parallel to the shore and between the mainland and a barrier island; characterized by minimal or no freshwater influx and limited tidal flux, which cause elevated salinities. Also, a shallow body of water enclosed or nearly enclosed within an atoll."
lahar,"A mixture of water and volcanic debris that moves rapidly down the slope of a volcano, characterized by a substantial component (>50%) of fine-grained material that acts as a matrix to give the deposit the strength it needs to carry the bigger clasts."
lamina,"The thinnest recognizable unit layer of original deposition in a sediment or sedimentary rock, differing from other layers in color, composition, or particle size; specifically a sedimentary layer less than 1 cm (0.4 in) thick and commonly 0.05–1.00 mm (0.002–0.04 in) thick. Synonymous with “lamination”; lamination is also the formation of such layers."
laminated,Consisting of very thin compositional layers.
landslide,A collective term covering a wide variety of slope-movement landforms and processes that involve the downslope transport of soil and rock material en masse under the influence of gravity.
lapilli,Pyroclastic materials ranging between 2 and 64 mm (0.08 and 2.5 in) across with no characteristic shape; may be either solidified or still viscous upon landing. An individual fragment is called a lapillus.
latite,"A porphyritic volcanic rock with phenocrysts of plagioclase and potassium feldspar minerals in nearly equal amounts, little or no quartz, and a finely crystalline to glassy groundmass."
Laurasia,The late Paleozoic continent of the Northern Hemisphere and counterpart of Gonwana of the Southern Hemisphere; both were derived from the supercontinent Pangaea.
lava,Molten or solidified magma that has been extruded though a vent onto Earth’s surface.
lavacicle,"A protrusion of lava that resembles an icicle in form, resulting from the dripping of lava into a lava tube."
lava dome,"A steep-sided mass of viscous, commonly blocky, lava extruded from a vent; typically has a rounded top and covers a roughly circular area; may be isolated or associated with lobes or flows of lava from the same vent; typically silicic (rhyolite or dacite) in composition."
lava lake,"A lake of molten lava, usually basaltic, in a volcanic crater or depression. Also refers to solidified and partly solidified stages."
lava tube,"Conduits through which lava travels beneath the surface of a lava flow; also, a cavernous segment of the conduit remaining after the flow of lava ceases."
law of faunal succession,"A general law of geology: Fossil organisms (faunas and floras) succeed one another in a definite and recognizable order, each geologic formation having a different total aspect of life from that in the formations above it and below it; or, the relative age of rocks can be determined from their fossil content."
law of original horizontality,"A general law of geology: Water-laid sediments are deposited in strata that are horizontal or nearly horizontal, and parallel or nearly parallel to the Earth’s surface."
law of superposition,"A general law upon which all geologic chronology is based: In any sequence of layered rocks, sedimentary or volcanic, that has not been overturned, the youngest stratum is at the top and the oldest at the base; that is, each bed is younger that the bed beneath, but older than the bed above it."
lawsonite,A colorless to grayish-blue orthorhombic mineral: CaAl2Si2O7(OH)2 • H2O.
leaching,"The separation, selective removal, or dissolving-out of soluble constituents from a rock or orebody by the natural action of percolating water."
left-lateral fault,A strike-slip fault on which the side opposite the observer has been displaced to the left. Synonymous with “sinistral fault.”
lens,"A sedimentary deposit that resembles a convex lens and is characterized by converging surfaces, thick in the middle and thinning out toward the edges."
lenticular,Resembling in shape the cross section of a lens.
lentil,A minor rock-stratigraphic unit of limited geographic extent that thins out in all directions.
leuco-,A prefix meaning “light-colored” and applied to light-colored igneous rocks that are relatively poor in mafic (“dark-colored”) minerals.
leucogranite,A light-colored intrusive igneous rock rich in potassium feldspars and aluminum.
levee,A long broad low embankment of sand and coarse silt built by floodwater overflow along both banks of a stream channel.
levee (speleology),"A retaining wall of hardened lava alongside a lava channel; also, the freestanding cooled edge of a lava tongue or flow left after evacuation of the molten lava."
lherzolite,"Peridotite composed chiefly of olivine, orthopyroxene, and clinopyroxene, in which olivine is generally most abundant."
Liesgang rings,Concentric rings or bands caused by precipitation of minerals within a fluid-saturated rock. Synonymous with “Liesgang banding.”
lidar (light detection and ranging),A method and instrument that measures distance to a reflecting object by emitting timed pulses of light and measuring the time between emission and reception of reflected pulses; the measured interval is converted to distance.
lignite,"An organic sedimentary rock, referred to as “brown coal,” with a low fixed carbon content of 25% caused by compaction by overlying sediments."
limb,One side of a structural fold.
lime,"Calcium oxide, CaO."
limestone,A carbonate sedimentary rock consisting of more than 95% calcite and less than 5% dolomite.
lineament,"A linear topographic feature of regional extent that probably reflects an underlying crustal structure. Also, any extensive linear surface feature (e.g., fault lines, aligned volcanoes, and straight stream courses)."
limonite,"A general field term for any brown, amorphous, to cryptocrystalline naturally occurring coatings (such as ordinary rust), loose or dense earthy masses, and pseudomorphs after other iron minerals formed by oxidation of iron or iron-bearing minerals; may also be formed as an inorganic or biogenic precipitate in bogs, lakes, springs, or marine deposits. Synonymous with “bog iron ore,” “brown iron ore,” and “brown hematite.”"
liquefaction,The transformation of loosely packed sediment into a more tightly packed fluid mass.
litharenite,"A sedimentary rock, specifically sandstone, that consists of more than 25% fine-grained rock fragments, less than 10% feldspar, and less than 75% quartz, quartzite, or chert. Short for “lithic arenite.”"
lithic,Described a medium-grained sedimentary rock or pyroclastic deposit that contains abundant fragments of previously formed rocks.
lithic tuff,A dense deposit of volcanic ash that includes fragments of previously formed rocks that solidified in a vent and were then ejected.
lithification,The conversion of sediment into solid rock.
lithify,"To change to stone, or to petrify; especially to consolidate from a loose sediment to solid rock."
lithofacies,"A lateral, mappable subdivision of a designated stratigraphic unit distinguished from adjacent subdivisions on the basis of lithology."
lithology,"The physical description or classification of a rock or rock unit based on characteristics such as color, mineral composition, and grain size."
lithophysa,"A hollow, bubblelike structure composed of concentric shells of finely crystalline potassium-rich feldspar, quartz, and other minerals; occurs in silica-rich volcanic rocks as rhyolite and obsidian."
lithosphere,"Earth’s relatively rigid outer shell that consists of the entire crust plus the uppermost mantle. It is broken into about 20 plates, and according to the theory of plate tectonics, movement and interaction of these plates is responsible for most geologic activity."
lithostratigraphy,The branch of stratigraphy that deals with the description and systematic organization of the rocks of Earth’s crust into distinctive named units based on the lithologic character of the rocks and their stratigraphic relations.
littoral,"Pertaining to the benthic ocean environment or depth zone between high water and low water; also, pertaining to the organisms of that environment. Synonymous with “intertidal.” "
littoral cone,A mound of hyaloclastic debris constructed by steam explosions at the point where lava enters the sea or other body of water. Littoral cones lack feeding vents connected to subsurface magma supplies.
loam,"A rich permeable soil composed of a mixture of clay, silt, sand, and organic matter."
lodgment till,"Successive layers of till plastered beneath a glacier, commonly characterized by a compact fissile structure and stones whose long axes are oriented generally parallel to the direction of ice flow."
loess,Windblown silt-sized sediment.
longitudinal dune,"A long, narrow sand dune, usually symmetrical in cross profile, oriented parallel with the direction of the prevailing wind; characteristically wider and steeper on the windward side and tapering to a point on the leeward side; may be a few meters high and as much as 100 km (60 mi) long."
longshore current,A current parallel to a coastline caused by waves approaching the shore at an oblique angle.
lower flow regime,A condition of stream flow that is characterized by a unidirectional current and relatively low sediment transport rates.
lowstand,The interval of time during one or more cycles of relative sea-level change when sea level is below the edge of the continental shelf in a given area.
lunar tide,The part of the tide caused solely by the tide-producing force of the Moon.
luster,"The reflection of light from the surface of a mineral, described by its quality and intensity."
maar,"A low-relief, broad volcanic crater formed by multiple shallow explosive eruptions. It is surrounded by a low-relief rim of fragmental material, and may be filled by water."
mafic,"Derived from magnesium + ferric (Fe is the chemical symbol for iron) to describe an igneous rock having abundant dark-colored, magnesium- or iron-rich minerals such as biotite, pyroxene, or olivine; also, describes those minerals."
magma,Molten rock beneath Earth’s surface capable of intrusion and extrusion.
magma reservoir,A chamber in the shallow part of the lithosphere from which volcanic materials are derived; the magma in the reservoir ascended from a deeper source.
magmatic arc,"An arcuate line of plutons, volcanic rocks, or active volcanoes formed at a convergent plate boundary."
magmatism,"The development and movement of magma, and its solidification as igneous rock."
magnetite,"Iron oxide. An oxide mineral composed of oxygen and iron, Fe3O4; commonly contains manganese, nickel, chromium, and titanium. A very common and widely distributed accessory mineral in rocks of all kinds and as a “heavy mineral” in sand."
mantle,The zone of the Earth below the crust and above the core.
mantle plume,"A vertical cylindrical part of Earth’s mantle, hotter than its surroundings, within which larger-than-normal amounts of heat are conducted upward to form a hot spot at the Earth’s surface."
mappability,"The quality or state of being mappable, determined by such considerations as the scale of base maps, purpose of the project and time assigned for completing the mapping, kind and number of exposures of the strata, the experience and skill of the mapper(s), and extent of the previous geologic study and mapping of surrounding areas."
marine terrace,"A relatively flat-topped, horizontal or gently inclined, surface of marine origin along a coast, commonly veneered by a marine deposit (typically silt, sand, or fine gravel)."
marker bed,"A well-defined, easily identifiable stratum or body of strata that has sufficiently distinctive characteristics (such as lithology or fossil content) to facilitate correlation in field mapping or subsurface work. Also, a geologic formation that serves as a marker."
marl,An unconsolidated sedimentary rock or soil consisting of clay and lime (CaO).
marl,"A term loosely applied to a variety of materials, most of which occur as loose, earthy deposits consisting primarily of a mixture of clay and calcium carbonate; specifically an earthy substance containing 35%–65% clay and 65%–35% carbonate."
marlstone,A sedimentary rock composed of marl.
massif,"A topographic and structural feature, especially in an orogenic belt, commonly formed of rocks more rigid than those of its surroundings; may consist of protruding bodies of basement rocks that consolidated during earlier orogenies, or younger plutonic bodies."
mass wasting,"Dislodgement and downslope transport of a mass of rock and/or unconsolidated material under the direct influence of gravity. In contrast to “erosion,” the debris removed is not carried within, on, or under another medium. Synonymous with “slope movement.”"
matrix,The fine-grained material between coarse grains in an igneous or sedimentary rock. Also refers to rock or sediment in which a fossil is embedded.
maximum credible earthquake,The largest hypothetical earthquake that may be reasonably expected to occur along a given fault.
meander,"One of a series of sinuous curves, bends, or turns in the course of a stream, produced by a mature stream swinging from side to side as it flows across its floodplain or shifts its course laterally toward the convex side of an original curve."
mechanical weathering,The physical breakup of rocks without change in composition.
medium-grained,"Describes an igneous rock and texture in which the individual crystals have an average diameter in the range of 1 to 5 mm (0.04 to 0.2 in.). Also, describes sediment or sedimentary rock and texture in which the individual particles have an average diameter in the range of 1/16 to 2 mm (0.002 to 0.08 in), that is, sand size."
megabreccia,"A rock produced by brecciation on a very large scale; individual blocks are as much as 400 m (1,300 ft) long."
mélange,"A body of jumbled rock that is mappable at a scale of 1:24,000 or smaller and includes fragments and blocks of all sizes embedded in a fragmented and generally sheared matrix."
mélange,"A mappable chaotic body of mixed rocks with a block-in-matric fabric whose internal structure and evolution are intimately linked to the structural, sedimentary, magmatic, and metamorphic processes in their tectonic setting of formation (Festa et al. 2010)."
member,A lithostratigraphic unit with definable contacts; a subdivision of a formation.
mesa,"A broad, flat-topped erosional hill or mountain with by steeply sloping sides or cliffs."
meta–,"A prefix used with the name of a sedimentary or igneous rock, indicating that the rock has been metamorphosed."
metamorphic,Pertaining to the process of metamorphism or to its results.
metamorphic core complex,"A domed or arched uplift of deformed metamorphic and plutonic rocks overlain by relatively unmetamorphosed, cover rocks."
metamorphic rock,"Any rock derived from preexisting rocks that was altered in response to marked changes in temperature, pressure, shearing stress, and chemical environment. One of the three main classes of rock—igneous, metamorphic, and sedimentary."
metamorphism,"The mineralogical, chemical, and structural changes of solid rocks, generally imposed at depth below the surface zones of weathering and cementation."
meteoric water,Water of recent atmospheric origin.
metavolcanic,Describes a volcanic rock that shows evidence of metamorphism.
miarolitic,Describes a small irregular cavity in igneous rock into which small crystals of the rock-forming minerals protrude.
mica,"A group of abundant silicate (silicon + oxygen) minerals characterized by perfect cleavage, readily splitting into thin sheets. Examples include “biotite” and “muscovite.”"
micaceous,"Consisting of, containing, or pertaining to mica; also, resembling mica, for example, a “micaceous mineral” capable of being easily split into thin sheets."
micrite,"The semiopaque crystalline matrix in limestones, consisting of chemically precipitated carbonate mud with crystals less than 4 microns in diameter."
microcrystalline,Describes a rock texture consisting of crystals visible only with a microscope.
micrographic,"Describes the graphic texture of an igneous rock, distinguishable only with a microscope."
microlite,A microscopic crystal that polarizes light and has some determinable optical properties.
microplate,A small lithospheric plate.
mid-ocean ridge,"The continuous, generally submarine and volcanically active mountain range that marks the divergent tectonic margins in Earth’s oceans."
migmatite,"Literally “mixed rock,” exhibiting both igneous and metamorphic characteristics due to partial melting during metamorphism."
mineral,A naturally occurring inorganic crystalline solid with a definite chemical composition or compositional range.
miogeocline,A wedge of shallow-water sediment building outward from the edge of the continent.
Mohorovicic discontinuity,"The seismic-velocity discontinuity or boundary surface that separates the Earth’s crust from the subjacent mantle. Named in honor of its discoverer, Andrija Mohorovicic (1857–1936), a Croatian seismologist."
mold,"An impression made in the surrounding earth by the exterior or interior of a fossil shell or other organic structure and then preserved. Also, a cast of the inner surface of a fossil shell."
mole track,"A small, geologically short-lived ridge formed by the humping up and cracking of ground along a strike-slip fault."
monadnock,"A conspicuous hill or mountain consisting of resistant rock that remains after the surrounding, less resistant rock has worn away. Type locality: Mount Monadnock in New Hampshire."
monocline,A one-limbed fold in strata that are otherwise flat-lying.
monoclinic system,"One of the six crystal systems of minerals, characterized by either a single twofold axis of symmetry or a single plane of symmetry, or a combination of the two. Of the three nonequivalent axes, one is perpendicular to the plane formed by the other two."
monogenetic,"Resulting from one process, derived from one source, or originating or developing at one place and time."
monument,"An isolated pinnacle, column, or pillar of rock resulting from erosion that resembles a human-made monument or obelisk."
montmorillonite,"A clay mineral of the smectite group, which is common in soils, sedimentary rocks, and some mineral deposits. They are derived from the alteration of volcanic glass and the weathering of primary silicates."
monzo–,"Derived from Monzoni in northern Italy for monzonite, a prefix that indicates that various intrusive igneous rocks contain a significant amount of both alkali feldspar and plagioclase."
monzodiorite,An intrusive igneous rock intermediate in composition between monzonite and diorite and containing nearly equal amounts of plagioclase and alkali feldspar. The presence of alkali feldspar distinguishes monzodiorite from diorite.
monzonite,"An intrusive igneous rock, intermediate in composition between syenite and diorite, containing approximately equal amounts of alkali feldspar and plagioclase and very little quartz. Monzonite contains less quartz and more plagioclase than granite."
moonmilk,"A soft, white, initially deformable deposit that occurs on the walls of caves."
moraine,"A mound, ridge, or other distinct accumulation of unsorted, unstratified glacial drift, predominantly till, deposited mostly by direct action of a glacier."
moulin,"A roughly cylindrical, nearly vertical hole or shaft in a glacier, scoured out by swirling meltwater as it pours down from the surface."
morphometry,The quantitative measurement the shape of a landform.
mud,A mixture of water with silt- or clay-sized earth material.
mud crack,"A crack formed in clay, silt, or mud by shrinkage during dehydration at Earth’s surface."
mud flat,"A relatively level area of fine silt along a shore or around an island, alternately covered and uncovered by the tide, or covered by shallow water; a muddy tidal flat, barren of vegetation."
mudflow,A general term for a landform and process characterized by a flowing mass of predominantly fine-grained earth material possessing a high degree of fluidity during movement.
mud pot,"A type of hot spring that contains boiling mud, which is usually sulfurous and commonly multicolored."
mudstone,Hardened mud having the texture and composition of shale but lacking its fissility.
mugearite,"An extrusive or hypabyssal igneous rock of the alkali basalt suite containing oligoclase, alkali feldspar, and mafic minerals."
mollusk,"A solitary invertebrate such as gastropods, bivalves, and cephalopods belonging to the phylum Mollusca. Range: Lower Cambrian to Holocene."
mush,Partially crystallized magma.
muscovite,"A light-colored silicate (silicon + oxygen) mineral of the mica group, KAl3Si3O10(OH)2, characterized by perfect cleavage in one direction and the ability to split into thin, clear sheets."
mylonite,"A fine-grained, foliated metamorphic rock typically in localized zones of ductile deformation, commonly formed at great depths under high temperature and pressure."
mylonite structure,"A flowlike appearance, characteristic of mylonite, produced by intense small-scale crushing, breaking, and shearing of rock."
nappe,"A sheetlike, allochthonous rock unit, which has moved on a predominantly horizontal surface."
native elements,"A mineral group that is composed of a single element, for example, gold, Au; or copper, Cu."
neck,"An eroded, vertical, pipelike intrusion that represents the vent of a volcano."
neoglacial,Describes a period of glacial readvance during the late Holocene Epoch. The Little Ice Age (1500s to mid-1800s) was the most recent.
nepheline,"A hexagonal feldspathoid mineral: (Na,K)AlSiO4. It occurs in glassy crystals or colorless grains, or as coarse crystals or green to brown masses or greasy luster without cleavage, in alkalic rocks; it is an essential constituent of sodium-rich rocks."
neritic,"Describes the ocean environment or depth zone between low tide and 200 m (660 ft), or between low tide and approximately the edge of the continental shelf; also, describes the organisms living in that environment."
nonconformity,A type of unconformity developed between sedimentary rocks and older rocks (plutonic igneous or massive metamorphic rocks) that had been exposed to erosion before the overlying sediments covered them.
normal fault,A fault in which the hanging wall appears to have moved downward relative to the footwall; the angle of dip is usually 45°–90°.
nuée ardente,"A swiftly flowing, turbulent, sometimes incandescent gaseous cloud erupted from a volcano, containing ash and other pyroclastic materials in its lower part. Synonymous with “pyroclastic flow,” which is the preferred term."
numerical age,"The geologic age of a fossil organism, rock, or geologic feature or event given in units of time, usually years. Commonly used as a synonym of “isotopic age,” but may also refer to ages obtained from tree rings, varves, and other dating methods."
obduction,The overriding of oceanic crust onto the leading edge of a continental lithospheric plate.
oblique fault,A fault in which motion includes both dip-slip and strike-slip components.
obsidian,"A black or dark-colored volcanic glass, usually of rhyolite composition, characterized by conchoidal fracture."
oceanic crust,Earth’s crust that underlies the ocean basins and is rich in iron and magnesium; ranges in thickness from about 5 to 10 km (3 to 6 mi).
oceanic trench,"A narrow, elongated depression, which may be thousands of kilometers long, of the deep-sea floor associated with a subduction zone, oriented parallel to a volcanic arc and usually to the edge of the adjacent continent; commonly 2 km (1 mi) or more deeper than the surrounding ocean floor."
oil field,"A geographic region rich in petroleum resources and containing one or more wells that produce, or have produced, oil and/or gas."
olivine,"A silicate (silicon + oxygen) mineral of magnesium and iron, (Mg,Fe)2SiO4; commonly olive-green and an essential mineral in basalt, gabbro, and peridotite."
oligoclase,"A silicate (silicon + oxygen) mineral of the plagioclase group, intermediate in chemical composition and crystallographic and physical characteristics between albite (NaAlSi3O8) and anorthite (CaAl2Si2O8)."
olistolith,"A large block or other rock mass, usually more than 10 m (30 ft) long, transported by submarine, gravity-driven sliding or slumping and included within a debris-flow deposit called an olistostrome."
olistostrome,"A debris-flow deposit consisting of a chaotic mass of intimately mixed heterogeneous materials (such as blocks and muds) that accumulated by submarine gravity sliding or slumping of unconsolidated sediments. It is a mappable, lens-like stratigraphic unit lacking true bedding but intercalated among normally bedded sequences."
ooid,"One of the small round or ovate accretionary bodies in a sedimentary rock, resembling the roe of fish, formed by accretion around a nucleus such as a shell fragment, algal pellet, or sand grain; laminated grains may reach 2 mm (0.08 in) across, but are commonly 0.5 to 1 mm (0.02 to 0.04 in) across. Synonymous and preferred to “oolith” (to avoid confusion with “oolite”)."
oolite,"A sedimentary rock, usually limestone, composed of ooids."
opal,"A hydrous silicate (silcon + oxygen) mineral or mineral gel, SiO2 • nH2O, consisting of packed spheres of silica and varying amounts of water (as much as 20% but usually 3%–9%)."
ophiolite,"An assemblage of ultramafic and mafic intrusive and extrusive igneous rock, probably representing oceanic crust."
orogeny,A mountain-building event.
ortho–,"A prefix used with the names of metamorphic rocks, indicating that the rock was derived from an igneous rock; it may also indicate the primary origin of a crystalline sedimentary rock, e.g., “orthoquartzite” as distinguished from “metaquartzite.”"
orthoclase,"A colorless, white, cream-yellow, flesh-pink, or gray silicate (silicon + oxygen) mineral of the alkali feldspar group, KAlSi3O8, characterized by potassium ions in its crystal structure."
orthopyroxene,A mineral of the pyroxene group that crystallized in the orthorhombic system and usually contains no calcium and little or no aluminum.
orthopyroxenite,An ultramafic igneous rock composed primarily of orthopyroxene.
orthoquartzite,A clastic sedimentary rock that is composed of almost exclusively of quartz sand.
orthorhombic system,"One of the six crystal systems of minerals, characterized by three axes of symmetry that are mutually perpendicular and of unconstrained relative lengths."
ostracode,"Any aquatic crustacean belonging to the subclass Ostracoda, characterized by a two-valved (shelled), generally calcified carapace with a hinge along the dorsal margin. Range: Lower Cambrian to Holocene."
outcrop,Any part of a rock mass or formation that is exposed or “crops out” at Earth’s surface.
outer trench swell,A subtle ridge on the seafloor near an oceanic trench formed where a subducting plate begins to flex and fault into the trench.
outwash,Glacial sediment transported and deposited by meltwater streams.
outwash plain,"A broad, gently sloping sheet of outwash deposited by meltwater streams flowing from the front of or beyond a glacier, and formed by coalescing outwash fans."
overbank deposit,Fine-grained sediment (silt and sand) deposited on a floodplain by floodwaters.
overburden (economic geology),"Rock material, either loose or consolidated, that overlies a mineral deposit and must be removed prior to mining."
overburden (sedimentary geology),"Loose soil, silt, sand, gravel, or other unconsolidated material overlying bedrock."
overdeepening,Process by which an eroding glacier excessively deepens and broadens a preexisting valley.
overthrust,"A low-angle thrust fault of large scale, with displacement generally measured in kilometers."
oxbow,A closely looping meander in a stream that resembles the U-shaped collar of an ox yoke. Synonymous with “horseshoe bend.”
oxidation,The process of combining with oxygen.
oxide,"A mineral group composed of oxygen plus an element or elements, for example, iron in hematite, Fe2O3; or aluminum in corundum, Al2O3."
pahoehoe,"A Hawaiian term for a lava flow typified by a smooth, billowy, or ropy surface."
palagonite,"An altered volcanic, specifically basaltic, glass that becomes pillow lava or occurs in amygdules."
palagonite tuff,"A pyroclastic rock consisting of angular fragments of hydrothermally altered or weathered palagonite, produced by explosive interaction of mafic magma and water."
paleochannel,A remnant of a stream channel cut in older rock or sediment and filled by the younger overlying rock or sediment; a buried stream channel.
paleofill,Sediment that filled caves and sinkholes that existed before the present cave passage formed.
paleofluvial channel,A natural passageway or depression produced by the action of a stream or river at a particular time in the geologic past.
paleogeography,"The study, description, and reconstruction of the physical landscape in past geologic periods."
paleontology,The study of the life and chronology of Earth’s geologic past based on the fossil record.
paleosol,An soil layer preserved in the geologic record.
paleotopography,The topographic relief of an area at a particular time in the geologic past.
parabolic dune,Crescent-shaped dune with horns or arms that point upwind.
Pangaea,"A supercontinent that existed from about 300 million to about 200 million years ago and included most of the continental crust of the Earth, from which the present continents were derived by fragmentation and continental drift. During an intermediate stage of the fragmentation—between the existence of Pangaea and that of the present continents—Pangaea split into two large fragments, Laurasia in the Northern Hemisphere and Gondwana in the Southern Hemisphere."
parent material,The unconsolidated organic and mineral material from which soil forms.
parent rock,"Rock from which soil, sediment, or other rock is derived."
parting,A plane or surface along which a rock readily separates.
passive margin,"A continental plate boundary where no plate-scale tectonism is taking place; plates are not converging, diverging, or sliding past one another."
patterned ground,"Well-defined, more or less symmetrical forms such as circles, polygons, nets, steps, and stripes in surficial material that develop as a result of intense frost action."
peat,An accumulation of partly decomposed plant remains in swampy lowlands. It is an early stage or rank in the development of coal.
pebble,"A small rounded rock, especially a waterworn stone, between 4 and 64 mm (0.16 and 2.5 in) across."
pediment,"A gently sloping, erosional bedrock surface at the foot of a mountain or plateau escarpment."
pegmatite,"An intrusive igneous rock consisting of exceptionally coarse-grained, interlocking crystals, generally granitic in composition and commonly in irregular dikes, lenses, and veins, especially at the margins of batholiths."
pelecypod,"Any benthic aquatic mollusk belonging to the class Pelecypoda, characterized by a bilaterally symmetrical bivalve shell, a hatchet-shaped foot, and sheetlike gills. Range: Ordovician to Holocene."
pelite,"A sediment or sedimentary rock composed of the finest detritus (clay- or mud-sized particles), or a calcareous sediment composed of clay and minute particles of quartz."
pelitic,Describes a sedimentary rock composed of pelite or a metamorphic rock derived by metamorphism of pelite.
pendant,A solutional remnant hanging from the ceiling or wall of a cave.
peneplain,"A broad area of low topographic relief resulting from long-term, extensive erosion."
peperite,"A breccialike material in sedimentary rocks, interpreted as a mixture of lava with sediment or as shallow intrusions of magma into wet sediment."
perched aquifer,An aquifer that is separated from (“perched” above) the water table by an unsaturated zone.
peridotite,A coarse-grained intrusive igneous rock composed primarily of olivine and other mafic minerals; commonly alters to serpentinite.
period,The fundamental unit of the worldwide geologic time scale. It is lower in rank than era and higher than epoch. The geochronologic unit during which the rocks of the corresponding system were formed.
periphyton,"Microorganisms, primarily algae and heterotrophic microbes, that coat rocks, plants, and other surfaces at the bottom of a body of water."
perlite,"A volcanic glass having the composition of rhyolite, a perlitic texture, and a generally higher water content than obsidian."
perlitic,Describes the texture of glassy volcanic rocks characterized by numerous curving cracks roughly concentric around closely spaced centers.
permafrost,"Any soil, subsoil, or other surficial deposit, or even bedrock, occurring in arctic, subarctic, and alpine regions at a variable depth beneath Earth’s surface in which a temperature below freezing has existed continuously for a long time (from two years to tens of thousands of years)."
permeability,A measure of the relative ease with which a fluid moves through the pore spaces of a rock or unconsolidated deposit.
perovskite,"A yellow, brown, or grayish-black cubic mineral: CaTiO3."
perthite,"An intergrowth of two feldspars—a potassium-rich phase and a sodium-rich phase; typically form strings, lamellae, blebs, films, or irregular small veins that are visible to the naked eye."
phenocryst,A coarse-grained crystal in a porphyritic igneous rock.
phonolite,A group of fine-grained volcanic rocks primarily composed of alkali feldspar.
